id,user_id,date_time,expense_type,additional_comments,is_active,updated,amount
607256,8,2025-10-26 01:46:29,Cafeteria,Monthly rent transfer,True,2025-10-28 01:46:29,1281.63
867297,1,2025-09-13 05:17:23,Self,Monthly rent transfer,True,2025-09-15 05:17:23,2161.29
873873,2,2025-03-09 03:50:37,Others,Paid for lunch,True,2025-03-10 03:50:37,2198.9
815081,3,2025-06-05 00:13:57,Uber/Rapido,Online subscription renewal,True,2025-06-07 00:13:57,3886.2
896096,9,2025-04-04 20:15:05,Others,Recharge and utilities,True,2025-04-08 20:15:05,802.61
741967,2,2025-02-19 03:27:03,Flat,Grocery shopping,True,2025-02-22 03:27:03,2129.73
868370,7,2025-05-09 23:37:21,Cafeteria,Cab to office,True,2025-05-14 23:37:21,2770.38
464406,4,2025-06-26 10:03:49,Cafeteria,Flat maintenance charges,True,2025-07-01 10:03:49,3349.14
637946,4,2025-03-02 15:26:00,Cafeteria,Monthly rent transfer,True,2025-03-02 15:26:00,1979.38
977720,8,2025-06-11 21:48:12,Cafeteria,Weekend movie,True,2025-06-14 21:48:12,3518.52
735916,9,2025-04-29 13:49:55,Cafeteria,Monthly rent transfer,True,2025-05-04 13:49:55,196.16
118620,4,2025-08-28 13:45:41,Uber/Rapido,Monthly rent transfer,True,2025-09-01 13:45:41,1682.95
633602,10,2025-01-11 23:01:36,Others,Gift purchase,True,2025-01-13 23:01:36,4133.87
769612,1,2025-01-12 03:18:25,Others,Paid for lunch,True,2025-01-16 03:18:25,1003.77
680489,9,2025-02-05 14:26:49,Self,Grocery shopping,True,2025-02-06 14:26:49,3660.25
493487,10,2025-09-11 02:40:13,Cafeteria,Snacks with friends,True,2025-09-14 02:40:13,2069.46
591309,1,2025-06-18 00:27:08,Flat,Fuel refill,True,2025-06-21 00:27:08,3364.8
862200,10,2025-04-16 07:22:33,Uber/Rapido,Gift purchase,True,2025-04-18 07:22:33,4626.02
347412,1,2025-01-02 09:40:35,Flat,Monthly rent transfer,True,2025-01-05 09:40:35,174.18
460293,5,2025-08-27 12:45:58,Flat,Flat maintenance charges,True,2025-08-30 12:45:58,3931.78
407256,2,2025-03-27 16:01:31,Self,Paid for lunch,True,2025-04-01 16:01:31,1315.19
758821,8,2025-03-16 22:20:22,Self,Grocery shopping,True,2025-03-16 22:20:22,1522.14
314936,6,2025-01-24 22:18:13,Uber/Rapido,Snacks with friends,True,2025-01-24 22:18:13,2573.89
810477,10,2025-07-05 11:47:58,Self,Flat maintenance charges,True,2025-07-05 11:47:58,3343.85
741210,1,2025-09-09 00:27:45,Uber/Rapido,Fuel refill,True,2025-09-12 00:27:45,2630.67
247555,4,2025-03-02 06:40:15,Others,Recharge and utilities,True,2025-03-04 06:40:15,2881.15
965267,5,2025-01-29 15:13:51,Self,Flat maintenance charges,True,2025-02-01 15:13:51,3010.23
435037,2,2025-09-06 13:31:49,Others,Flat maintenance charges,True,2025-09-06 13:31:49,3608.02
817048,4,2025-06-19 23:54:15,Others,Fuel refill,True,2025-06-24 23:54:15,4660.69
642088,10,2025-01-06 01:05:16,Others,Paid for lunch,True,2025-01-08 01:05:16,3395.66
875730,8,2025-05-23 20:53:26,Uber/Rapido,Paid for lunch,True,2025-05-28 20:53:26,4901.01
664875,9,2025-01-02 02:10:37,Self,Weekend movie,True,2025-01-07 02:10:37,2398.01
513409,3,2025-01-21 13:50:11,Flat,Fuel refill,True,2025-01-21 13:50:11,4118.39
381786,4,2025-10-01 19:54:42,Self,Recharge and utilities,True,2025-10-05 19:54:42,4847.22
906411,6,2025-06-15 04:39:23,Uber/Rapido,Fuel refill,True,2025-06-18 04:39:23,3749.84
322693,2,2025-06-04 18:03:29,Flat,Recharge and utilities,True,2025-06-08 18:03:29,440.7
979826,6,2025-03-23 02:28:23,Uber/Rapido,Snacks with friends,True,2025-03-25 02:28:23,119.72
498483,7,2025-10-30 02:05:47,Cafeteria,Grocery shopping,True,2025-11-03 02:05:47,3625.76
579408,10,2025-05-06 03:24:31,Flat,Snacks with friends,True,2025-05-11 03:24:31,2845.99
780911,2,2025-05-08 21:37:40,Flat,Gift purchase,True,2025-05-09 21:37:40,4991.1
343101,3,2025-10-14 14:34:08,Self,Flat maintenance charges,True,2025-10-19 14:34:08,486.58
175176,5,2025-08-07 22:01:41,Others,Online subscription renewal,True,2025-08-09 22:01:41,4327.37
192234,7,2025-02-05 23:55:05,Self,Online subscription renewal,True,2025-02-08 23:55:05,2556.72
909750,7,2025-10-02 15:49:44,Self,Fuel refill,True,2025-10-07 15:49:44,3803.22
851417,10,2025-01-21 05:06:35,Cafeteria,Gift purchase,True,2025-01-21 05:06:35,3035.78
667563,3,2025-10-22 13:34:28,Flat,Paid for lunch,True,2025-10-27 13:34:28,1370.23
664747,10,2025-01-07 20:25:32,Self,Fuel refill,True,2025-01-12 20:25:32,4143.03
121993,2,2025-01-31 04:55:29,Flat,Weekend movie,True,2025-01-31 04:55:29,2987.08
939659,4,2025-10-14 03:44:10,Flat,Weekend movie,True,2025-10-16 03:44:10,4341.69
591271,5,2025-04-17 03:26:55,Self,Fuel refill,True,2025-04-17 03:26:55,3588.49
591856,1,2025-10-30 06:02:18,Uber/Rapido,Online subscription renewal,True,2025-11-03 06:02:18,4544.52
656779,3,2025-05-25 20:51:17,Others,Paid for lunch,True,2025-05-30 20:51:17,1284.35
515085,6,2025-06-12 03:53:06,Self,Weekend movie,True,2025-06-14 03:53:06,3517.66
864444,9,2025-02-28 15:56:43,Uber/Rapido,Monthly rent transfer,True,2025-03-05 15:56:43,1038.13
708320,2,2025-01-22 13:51:00,Others,Flat maintenance charges,True,2025-01-22 13:51:00,4557.47
646452,4,2025-07-22 04:05:13,Flat,Gift purchase,True,2025-07-26 04:05:13,3287.6
